Year,Net income,GDP_Growth,Oil_Price
1992,530.37,3.5,20.582609158353723
1993,86.58999999999999,2.7000000000000006,18.474045540811844
1994,310.18,4.0,17.16795660800552
1995,424.0,2.7000000000000006,18.41400147437104
1996,-816.0,3.7999999999999994,22.15189459815547
1997,-1045.0,4.4,20.590988393249262
1998,309.0,4.5,14.367870051446138
1999,601.0,4.8,19.23857593010854
2000,786.0,4.1,30.337584180312444
2001,-25.0,1.0,25.933259512830166
2002,65.0,1.7,26.112816276115186
2003,69.0,2.7999999999999994,31.13669078204404
2004,276.0,3.7999999999999994,41.42690909090909
2005,1328.0,3.5,56.47664567256415
2006,1989.0,2.7999999999999994,66.0826388496769
2007,3496.0,2.0,72.34329894441308
2008,4834.0,0.10000000000000002,99.56491418846853
2009,5704.0,-2.6,61.71809265794591
2010,14013.0,2.7000000000000006,79.42875076855512
2011,25922.0,1.6000000000000003,95.06310389610388
2012,41733.0,2.3,94.18081676234392
2013,37037.0,2.1,97.94982287157286
2014,39510.0,2.5,93.11938652832674
2015,53394.0,2.9,48.8053253184014
2016,45687.0,1.8,43.2425228998055
2017,48351.0,2.5,50.90759719869502
2018,59531.0,3.0,64.81530354005898
2019,55256.0,2.6,56.936923285651545
2020,57411.0,-2.1,39.35543492377188
2021,94680.0,6.2,67.95707452631909
2022,99803.0,2.5,94.80118136332267
2023,96995.0,2.9,77.59818482966308
