,Net sales,Net income,Earnings per  common and  common  equivalent  share,Earnings per diluted share,Cash dividends  declared  per common  share,Common and  common  equivalent  shares used  in the  calculations  of basic earnings per  share (Per Thousand),Common and  common  equivalent  shares used  in the  calculations  of diluted earnings per  share (Per Thousand),"Cash, cash  equivalents,  and short-term  investments",Total assets,Commercial paper,Long-term debt,Other long-term obligations,Other non-current liabilities,"Deferred tax 
 liabilities",Total Liabilities,Shareholder's Equity
1990," $ 5,558.44 ", $ 474.90 , $ 3.77 ,, $ 0.44 ,"125,813",, $ 997.09 ," $ 2,975.71 ",, $ 5.44 ,,, $ 501.83 ,,
1991," $ 6,308.85 ", $ 309.84 , $ 2.58 ,, $ 0.48 ,"120,283",, $ 892.72 ," $ 3,493.60 ",, $ 18.13 ,,, $ 509.87 ,,
1992," $ 7,086.54 ", $ 530.37 , $ 4.33 ,, $ 0.48 ,"122,490",," $ 1,435.50 "," $ 4,223.69 ",, $ 17.74 ,,, $ 610.80 ,,
1993," $ 7,976.95 ", $ 86.59 , $ 0.73 ,, $ 0.48 ,"119,125",, $ 892.30 ," $ 5,171.41 ",, $ 7.12 ,,, $ 629.83 ,,
1994," $ 9,188.75 ", $ 310.18 , $ 2.61 ,, $ 0.48 ,"118,735",," $ 1,257.86 "," $ 5,302.75 ",, $ 304.47 ,,, $ 670.67 ,,
1995," $ 11,062.00 ", $ 424.00 , $ 3.50 , $ 3.45 ,,"121,192","123,047", $ 952.00 ," $ 6,231.00 ",, $ 303.00 ,,,,," $ 2,901.00 "
1996," $ 9,833.00 ", $ (816.00), $ (6.59), $ (6.59),,"123,734","123,734"," $ 1,745.00 "," $ 5,364.00 ",, $ 949.00 ,,,,," $ 2,058.00 "
1997," $ 7,081.00 "," $ (1,045.00)", $ (8.29), $ (8.29),,"126,062","126,062"," $ 1,459.00 "," $ 4,233.00 ",, $ 951.00 ,,,,," $ 1,200.00 "
1998," $ 5,941.00 ", $ 309.00 , $ 2.34 , $ 2.10 ,,"131,974","167,917"," $ 2,300.00 "," $ 4,289.00 ",, $ 954.00 ,,,,," $ 1,642.00 "
1999," $ 6,134.00 ", $ 601.00 , $ 4.20 , $ 3.61 ,,"143,157","174,164"," $ 3,226.00 "," $ 5,161.00 ",, $ 300.00 ,,,,," $ 3,104.00 "
